City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,dt
0,zyryanka,65.75,150.85,-27.93,99,36,2.35,RU,1667766998
1,busselton,-33.65,115.3333,13.6,84,79,4.51,AU,1667766643
2,rikitea,-23.1203,-134.9692,22.15,73,56,6.16,PF,1667766999
3,banda aceh,5.5577,95.3222,25.47,80,100,2.06,ID,1667766999
4,vaini,-21.2,-175.2,26.09,69,20,2.57,TO,1667767000
5,ulladulla,-35.35,150.4667,16.44,76,98,1.68,AU,1667767000
6,anta,25.15,76.3,23.46,40,100,1.66,IN,1667767001
7,havelock,34.8791,-76.9013,27.99,74,75,3.09,US,1667766841
8,jamestown,42.097,-79.2353,21.8,63,75,6.17,US,1667766597
9,praia da vitoria,38.7333,-27.0667,18.2,82,40,5.0,PT,1667766773
10,ushuaia,-54.8,-68.3,9.79,81,75,3.6,AR,1667766644
11,hondo,32.45,130.2,17.02,56,100,0.89,JP,1667767002
12,punta arenas,-53.15,-70.9167,17.06,45,0,8.23,CL,1667766614
13,cabo san lucas,22.8909,-109.9124,28.67,61,40,5.14,MX,1667766668
14,nikolskoye,59.7035,30.7861,3.22,97,100,3.52,RU,1667766638
15,urumqi,43.801,87.6005,3.53,75,100,1.0,CN,1667767002
16,saint-philippe,-21.3585,55.7679,22.77,86,64,3.93,RE,1667766640
17,cidreira,-30.1811,-50.2056,17.63,79,2,6.54,BR,1667766705
18,albany,42.6001,-73.9662,22.91,79,100,0.45,US,1667766553
19,pala,9.3642,14.9046,24.36,27,46,1.1,TD,1667767003
20,sola,-13.8833,167.55,24.37,94,95,0.0,VU,1667767003
21,kapaa,22.0752,-159.319,27.99,75,40,5.14,US,1667766410
22,kyren,51.6828,102.1408,-2.64,79,42,1.07,RU,1667767004
23,pacific grove,36.6177,-121.9166,17.34,67,0,4.63,US,1667766690
24,ilulissat,69.2167,-51.1,-18.09,94,40,3.08,GL,1667766687
25,chokurdakh,70.6333,147.9167,-15.18,93,100,7.59,RU,1667766643
26,lesnoy,57.6198,63.0784,-8.8,98,74,2.1,RU,1667767005
